game_id,round_id,agent_id,reflection
c6c045d2-fe57-4c29-b767-793eeac4ac99,1,Agent_1,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,1,Agent_2,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,1,Agent_3,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,1,Agent_4,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,1,Agent_5,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,1,Agent_6,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,1,Agent_7,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,1,Agent_8,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,2,Agent_1,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,2,Agent_2,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,2,Agent_3,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,2,Agent_4,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,2,Agent_5,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,2,Agent_6,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,2,Agent_7,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,2,Agent_8,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,3,Agent_1,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,3,Agent_2,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,3,Agent_3,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,3,Agent_4,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,3,Agent_5,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,3,Agent_6,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,3,Agent_7,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,3,Agent_8,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,4,Agent_1,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,4,Agent_2,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,4,Agent_3,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,4,Agent_4,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,4,Agent_6,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,4,Agent_7,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,4,Agent_8,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,5,Agent_2,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,5,Agent_3,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,5,Agent_4,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,5,Agent_6,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,5,Agent_7,No memory.
c6c045d2-fe57-4c29-b767-793eeac4ac99,5,Agent_8,No memory.
